'Reference';'Value';'Datasheet';'Footprint';'Qty';'DNP'
'Ardu_alim?';'Ardu_alim';'~';'Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical';'1';''
'Ardu_M1';'Ardu_M1';'~';'Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical';'1';''
'Ardu_M2';'Ardu_M2';'~';'Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical';'1';''
'Ardu_M3';'Ardu_M3';'~';'Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical';'1';''
'D1,D2,D3,D7,D8,D9';'1N4007';'';'Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal';'6';''
'D4,D5,D6';'LED';'~';'LED_THT:LED_D5.0mm';'3';''
'ENCODER1';'Conn M1';'~';'Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical';'1';''
'ENCODER2';'Conn M2';'~';'Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical';'1';''
'ENCODER3';'Conn M3';'~';'Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical';'1';''
'IN_M1';'IN M1';'~';'Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical';'1';''
'IN_M2';'IN M2';'~';'Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical';'1';''
'IN_M3';'IN M3';'~';'Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical';'1';''
'IN_POWER?';'Entree puissance';'~';'TerminalBlock:TerminalBlock_bornier-2_P5.08mm';'1';''
'M1';'Sortie Moteur 1';'~';'TerminalBlock:TerminalBlock_bornier-2_P5.08mm';'1';''
'M2';'Sortie Moteur 2';'~';'TerminalBlock:TerminalBlock_bornier-2_P5.08mm';'1';''
'M3';'Sortie Moteur 3';'~';'TerminalBlock:TerminalBlock_bornier-2_P5.08mm';'1';''
'M_Driver1';'L298N 1';'~';'TerminalBlock:TerminalBlock_bornier-3_P5.08mm';'1';''
'M_Driver2';'L298N 2';'~';'TerminalBlock:TerminalBlock_bornier-3_P5.08mm';'1';''
'M_Driver3';'L298N 3';'~';'TerminalBlock:TerminalBlock_bornier-3_P5.08mm';'1';''
'ON/OFF?';'button ON/OFF';'~';'TerminalBlock:TerminalBlock_bornier-2_P5.08mm';'1';''
'OUT1';'Output ext 1';'~';'TerminalBlock:TerminalBlock_bornier-3_P5.08mm';'1';''
'OUT2';'output ext 2';'~';'TerminalBlock:TerminalBlock_bornier-3_P5.08mm';'1';''
'R1,R2,R3';'R';'~';'Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal';'3';''
'U1,U2,U3';'TSR1-2450E';'';'Converter_DCDC:Converter_DCDC_TRACO_TSR1-xxxxE_THT';'3';''
